0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Action,Adventure,Indie,Early Access,,,,,,,,,,,,,,,
Adventure,Racing,,,,,,,,,,,,,,,,,
Adventure,Casual,Indie,Simulation,,,,,,,,,,,,,,,
Action,Indie,,,,,,,,,,,,,,,,,
Action,Adventure,Casual,Indie,,,,,,,,,,,,,,,
Casual,,,,,,,,,,,,,,,,,,
Action,Adventure,Indie,,,,,,,,,,,,,,,,
Indie,,,,,,,,,,,,,,,,,,
Casual,,,,,,,,,,,,,,,,,,
Action,Casual,Indie,Simulation,Strategy,,,,,,,,,,,,,,
Game Development,,,,,,,,,,,,,,,,,,
Action,Casual,Free to Play,Indie,Massively Multiplayer,Early Access,,,,,,,,,,,,,
Adventure,Casual,,,,,,,,,,,,,,,,,
Adventure,Indie,RPG,Strategy,,,,,,,,,,,,,,,
Action,Casual,Indie,,,,,,,,,,,,,,,,
Simulation,,,,,,,,,,,,,,,,,,
Strategy,RPG,Indie,,,,,,,,,,,,,,,,
Sexual Content,Adventure,RPG,Strategy,,,,,,,,,,,,,,,
Adventure,Casual,Strategy,,,,,,,,,,,,,,,,
Adventure,Indie,,,,,,,,,,,,,,,,,
Casual,Indie,Sports,,,,,,,,,,,,,,,,
Action,Indie,Early Access,,,,,,,,,,,,,,,,
Action,Indie,Racing,,,,,,,,,,,,,,,,
Action,Indie,,,,,,,,,,,,,,,,,
Casual,,,,,,,,,,,,,,,,,,
Indie,Massively Multiplayer,Simulation,Strategy,,,,,,,,,,,,,,,
Casual,Indie,Racing,Early Access,,,,,,,,,,,,,,,
Action,Adventure,Indie,Strategy,,,,,,,,,,,,,,,
Action,Adventure,Indie,,,,,,,,,,,,,,,,
Action,Indie,,,,,,,,,,,,,,,,,
Action,Casual,Indie,Simulation,,,,,,,,,,,,,,,
Casual,Free to Play,Indie,Simulation,,,,,,,,,,,,,,,
Action,Casual,,,,,,,,,,,,,,,,,
Free to Play,Indie,RPG,,,,,,,,,,,,,,,,
