game_age,mean_owners,action,adventure,casual,early_access,free_to_play,indie,massively_multiplayer,rpg,racing,simulation,sports,strategy
0,75000.0,1,0,0,1,0,1,0,0,0,0,0,0
4,75000.0,0,1,1,0,0,1,0,0,0,0,0,0
8,150000.0,1,1,0,0,0,0,0,0,0,0,0,0
3,10000.0,0,0,0,0,0,1,0,0,0,0,0,0
3,75000.0,0,1,0,0,0,1,0,1,0,0,0,0
4,75000.0,0,0,1,0,1,1,1,1,0,1,0,0
0,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
4,3500000.0,1,1,0,0,0,0,0,0,0,0,0,0
4,35000.0,0,1,1,0,0,1,0,0,0,1,0,1
5,10000.0,1,0,0,0,0,0,0,1,0,0,0,0
1,35000.0,0,1,1,0,0,0,0,0,0,0,0,0
1,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
0,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
0,0.0,1,1,0,0,0,0,0,1,0,0,0,0
0,10000.0,1,1,0,0,0,0,0,1,0,0,0,0
1,10000.0,1,0,0,1,0,1,0,0,0,0,0,0
6,35000.0,0,0,1,0,0,1,0,0,0,0,0,0
1,3500000.0,0,0,0,0,0,0,0,0,1,0,0,0
1,10000.0,1,1,0,0,0,1,0,1,0,0,0,0
2,10000.0,0,0,0,0,0,1,0,0,0,0,0,0
0,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
2,35000.0,1,0,1,0,0,0,0,0,0,0,0,0
6,350000.0,1,0,0,0,0,0,0,0,1,0,1,0
0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0
0,35000.0,1,1,0,1,0,0,0,1,0,1,0,1
2,10000.0,0,0,0,0,0,1,0,0,0,0,0,1
11,750000.0,1,0,0,0,0,0,0,0,0,0,0,0
1,35000.0,1,1,0,0,0,1,0,0,0,0,0,0
0,10000.0,0,1,1,0,0,1,0,0,0,0,0,0
2,10000.0,0,0,0,0,0,0,0,0,0,1,0,1
1,10000.0,1,0,1,1,0,1,0,0,0,0,0,0
5,750000.0,0,1,0,0,0,1,0,0,0,0,0,0
2,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
1,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
1,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
0,10000.0,1,1,1,1,0,1,0,0,1,0,0,0
4,10000.0,0,1,1,0,0,1,0,1,0,0,0,1
0,10000.0,1,0,0,0,0,0,0,0,0,0,0,0
4,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
0,10000.0,0,1,0,0,0,0,0,0,0,0,0,1
0,35000.0,1,0,1,1,0,1,0,0,0,0,0,0
7,35000.0,0,1,1,0,0,1,0,0,0,0,0,0
2,10000.0,0,1,0,0,0,1,0,0,0,1,0,1
2,10000.0,1,0,1,0,0,1,1,0,0,0,0,0
3,10000.0,1,0,1,0,0,1,0,0,0,0,0,1
5,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
3,10000.0,0,1,1,0,0,1,0,0,0,1,1,1
1,10000.0,0,1,0,0,0,0,0,0,0,0,0,0
0,10000.0,1,1,0,0,1,1,0,0,0,0,0,0
6,35000.0,1,1,0,0,0,1,0,1,0,0,0,0
0,35000.0,1,1,1,0,0,1,0,0,0,0,0,0
2,10000.0,0,0,0,0,0,1,0,0,0,1,0,0
2,10000.0,0,0,0,1,1,0,1,1,0,1,0,0
2,350000.0,0,0,0,0,0,0,0,0,1,1,1,0
4,10000.0,0,0,0,1,1,0,0,0,0,1,0,0
0,0.0,0,1,1,0,0,1,0,0,0,1,0,1
3,3500000.0,0,0,0,0,0,1,0,0,0,1,0,0
0,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
0,10000.0,0,0,1,1,0,0,0,0,0,1,1,1
1,10000.0,0,1,1,0,0,0,0,0,0,0,0,0
0,35000.0,0,1,0,0,0,1,0,1,0,0,0,1
4,35000.0,0,1,1,0,0,1,0,0,0,0,0,0
6,10000.0,1,1,0,0,0,1,0,1,0,0,0,0
4,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
6,10000.0,0,0,0,0,0,0,0,1,0,0,0,1
0,0.0,0,1,0,0,0,1,0,0,0,0,0,0
3,10000.0,0,0,1,0,0,1,0,0,0,0,0,1
5,75000.0,0,0,0,0,1,0,1,1,0,0,0,0
4,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
2,750000.0,1,1,1,0,0,1,0,0,0,0,0,0
5,10000.0,1,1,0,0,0,1,0,1,0,0,0,0
4,750000.0,1,0,1,0,0,0,0,0,0,0,0,0
8,350000.0,0,0,1,0,0,0,0,0,0,0,0,0
0,10000.0,0,0,1,0,0,1,0,0,1,0,0,0
1,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
4,1500000.0,1,0,0,0,0,0,0,0,0,0,0,0
9,150000.0,1,0,0,0,0,0,0,0,0,0,0,0
1,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
1,75000.0,0,0,1,0,0,1,0,0,1,0,1,0
6,10000.0,0,1,0,0,0,1,0,1,0,0,0,1
6,350000.0,1,0,0,0,0,1,0,0,0,0,0,0
3,10000.0,0,1,1,0,0,1,0,0,0,0,0,0
2,10000.0,1,0,1,0,0,1,0,0,1,1,1,1
1,10000.0,1,0,0,0,0,1,0,0,0,1,0,0
4,35000.0,1,0,1,0,0,1,0,0,0,0,0,0
2,10000.0,0,1,1,0,0,1,0,1,0,0,0,0
1,1500000.0,0,0,0,0,0,1,0,0,0,0,0,0
1,10000.0,0,0,0,0,0,1,0,0,0,0,1,0
1,10000.0,1,1,1,1,0,1,0,1,0,0,0,0
2,10000.0,1,1,1,0,0,1,0,1,0,0,0,0
0,10000.0,1,1,1,0,0,1,0,0,0,0,0,0
2,10000.0,0,0,1,0,0,1,0,0,0,0,1,0
0,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
6,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
4,10000.0,0,0,0,0,0,1,0,0,0,0,0,0
14,1500000.0,1,0,0,0,0,0,0,0,0,0,0,0
4,10000.0,1,1,0,0,0,1,0,1,0,0,0,0
10,35000.0,1,0,0,0,0,1,0,0,0,0,0,0
5,10000.0,0,1,0,0,0,0,0,0,0,0,0,0
1,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
4,35000.0,0,0,1,0,0,0,0,0,0,0,0,0
4,150000.0,0,1,0,0,0,0,0,0,0,0,0,0
0,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
0,10000.0,1,0,1,0,0,1,0,0,0,1,0,0
2,10000.0,0,1,1,0,0,1,0,0,0,0,0,1
1,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
0,10000.0,1,0,0,1,0,0,0,0,0,0,0,0
4,10000.0,0,1,0,0,0,1,0,1,0,0,0,0
1,10000.0,1,0,1,1,0,1,0,0,0,0,0,0
4,10000.0,1,1,1,0,0,1,0,0,0,0,0,0
2,10000.0,0,0,0,0,0,1,0,0,1,1,1,0
1,10000.0,1,1,0,0,0,1,0,0,0,0,0,0
2,750000.0,0,1,0,0,0,1,0,0,0,0,0,0
0,10000.0,1,1,1,0,0,1,0,0,1,0,0,0
3,10000.0,1,1,1,0,0,1,0,1,0,1,1,1
2,10000.0,0,0,1,0,0,0,0,0,0,0,0,0
2,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
4,10000.0,1,0,1,0,0,1,0,0,0,1,0,0
7,10000.0,1,1,0,1,0,1,0,0,0,0,0,0
2,150000.0,0,1,1,0,0,1,0,1,0,1,0,1
0,10000.0,0,1,0,1,0,1,0,0,0,1,0,1
4,10000.0,1,1,1,0,0,1,0,0,0,0,0,0
3,10000.0,1,1,0,1,0,1,0,1,0,0,0,1
0,10000.0,1,0,1,0,0,1,0,0,0,0,0,0
4,10000.0,0,0,0,0,0,0,0,0,0,1,0,0
2,10000.0,0,1,1,0,0,1,0,1,0,0,0,0
1,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
2,35000.0,0,0,1,0,0,1,0,0,0,0,0,0
3,10000.0,0,0,0,0,0,1,0,0,0,0,0,0
4,10000.0,1,0,0,0,0,1,0,0,0,1,0,0
2,10000.0,1,0,0,0,0,1,0,1,0,0,0,0
4,10000.0,1,0,1,0,0,1,0,0,0,0,1,0
1,10000.0,0,0,0,0,0,0,0,0,1,0,0,0
3,10000.0,1,0,0,0,0,1,0,0,0,0,0,1
3,35000.0,0,1,0,0,0,1,0,0,0,0,0,0
2,10000.0,0,0,0,1,0,1,0,0,0,1,0,0
