Release date,Estimated owners,Peak CCU,Metacritic score,User score,Positive,Negative,Genres
"Jan 5, 2018",0 - 20000,0,0,0,17,6,"Action,Adventure,Casual,Indie,Strategy"
"Dec 3, 2019",20000 - 50000,21,0,0,610,199,"Action,Adventure,Casual,Indie,Simulation"
"Aug 13, 2018",0 - 20000,0,0,0,2,0,"Action,Indie"
"Jun 6, 2017",0 - 20000,3,0,0,51,16,"Action,RPG"
"Apr 13, 2020",0 - 20000,0,0,0,0,0,Action
"Feb 11, 2020",0 - 20000,0,0,0,1,0,"Action,Casual,Indie,Racing"
"Feb 14, 2020",100000 - 200000,0,0,0,5,2,"Casual,Free to Play,Indie,Strategy"
"Jun 10, 2021",50000 - 100000,268,0,0,917,269,"Simulation,Sports,Strategy"
"May 6, 2019",0 - 20000,0,0,0,16,8,"Adventure,Indie"
"Jan 5, 2022",0 - 20000,0,0,0,0,0,"Adventure,Casual,Indie"
"Dec 21, 2021",0 - 20000,0,0,0,0,10,Action
"Mar 31, 2021",0 - 20000,1,0,0,19,4,"Casual,Indie"
"Dec 6, 2016",0 - 20000,0,0,0,17,6,"Casual,Sports"
"Jan 1, 2020",0 - 20000,0,0,0,10,22,"Adventure,Free to Play,Indie"
"Oct 29, 2017",0 - 20000,0,0,0,38,16,"Indie,Simulation"
"Nov 2, 2020",0 - 20000,1,0,0,28,1,"Casual,Indie,Simulation"
"Sep 25, 2020",0 - 20000,0,0,0,32,17,"Action,Adventure,Casual,Indie,Simulation"
"Dec 7, 2019",50000 - 100000,0,0,0,15,6,"Action,Indie,Early Access"
"Jun 15, 2022",0 - 20000,2,0,0,0,0,"Casual,Indie"
"Oct 2, 2019",0 - 20000,0,0,0,0,1,"Indie,Early Access"
"May 8, 2018",100000 - 200000,95,0,0,4062,161,Adventure
"Jun 21, 2021",0 - 20000,0,0,0,5,6,"Indie,Simulation,Sports"
"Sep 26, 2016",50000 - 100000,6,0,0,1541,233,"Action,Casual,Indie,Simulation,Strategy"
"Sep 3, 2018",0 - 20000,0,0,0,1,0,"Casual,Indie,Simulation,Strategy"
"Apr 25, 2019",0 - 20000,0,0,0,172,26,"Adventure,Indie"
"Mar 2, 2020",0 - 20000,0,0,0,14,2,"Adventure,Indie"
"Mar 11, 2022",0 - 20000,2,0,0,9,2,"Indie,Strategy,Early Access"
"Apr 29, 2014",20000 - 50000,14,0,0,292,73,"Adventure,Casual,Strategy"
"Jan 28, 2021",50000 - 100000,0,0,0,282,179,"Action,Adventure,Indie,Early Access"
"Sep 15, 2017",0 - 20000,0,0,0,0,0,"Casual,Indie"
"Dec 20, 2018",0 - 20000,0,0,0,7,0,"Casual,Indie"
"Nov 4, 2021",0 - 20000,0,0,0,28,5,"Casual,Indie"
